nombre moyen d'objets similiaires proches selon le nombre d'agents et le nombre d'itérations
taille grille	50*50	nb objet A	200	nb objet B	200	nb agents	64	
itération	nb moyen de voisins similaire	ration objet isolé	
0	0.3200000000000003	0.7275	
1000	1.3029490616621988	0.14209115281501342	
2000	1.623342175066314	0.08488063660477453	
3000	1.6320000000000001	0.06666666666666667	
4000	1.7962466487935664	0.058981233243967826	
5000	1.7395833333333337	0.06510416666666667	
6000	1.7735849056603767	0.08355795148247978	
7000	1.7628032345013485	0.0673854447439353	
8000	1.8181818181818188	0.07219251336898395	
9000	1.8882978723404262	0.07712765957446809	
10000	1.9476439790575912	0.060209424083769635	
